id_district;district;location_type;location_detail;location_name;location_number;greenarea_ZV_roadtrees _AV;species;number_of_trees;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Gonzalo JimÇnez de Quesada;32;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Gran V°a de San Francisco;4;AV;Platanus x hybrida;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Hern†n CortÇs;5;AV;Fraxinus angustifolia;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Huertas;18;AV;Pyrus calleryana;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;Humilladero;11;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Imperial;8;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Infantas;12;AV;Sorbus terminalis;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;Isabel II;8;AV;Cercis siliquastrum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;Jacinto Benavente;1;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;LavapiÇs;45;AV;Pyrus calleryana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Libertad;8;AV;Cercis siliquastrum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Loreto y Chicote;15;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Madera;12;AV;Ligustrum japonicum;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;MarquÇs de Cubas;1;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;MarquÇs de Monasterio;1;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;MarquÇs de Santa Ana;4;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Mayor;44;AV;Arbutus unedo;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Mayor;1;AV;Cercis siliquastrum;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Mes¢n de Paredes;57;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Miguel Servet;17;AV;Prunus cerasifera pissardii;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Minas;18;AV;Pyrus calleryana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Mira el Sol;21;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Molino de Viento;5;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Montera;27;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Nao;6;AV;Hibiscus syriacus;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Palma;18;AV;Ilex aquifolium 'Nellie Stevens';3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Paz;13;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Pizarro;26;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;Pontejos;1;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Prado;1;AV;Prunus cerasifera pissardii;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Princesa (Centro);10;AV;Platanus x hybrida;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Pr°ncipe;10;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;Puerta Cerrada;4;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Regueros;2;AV;Laurus nobilis;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Reina;25;AV;Pyrus calleryana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Relatores;17;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Ribera de Curtidores (Centro);17;AV;Platanus x hybrida;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Sagasta (Centro);30;AV;Platanus x hybrida;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Salvador;4;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;San Agust°n;1;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;San AndrÇs;19;AV;Hibiscus syriacus;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;San Bernardo (Centro);87;AV;Sophora japonica;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;San Crist¢bal;4;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;San Gregorio;10;AV;Hibiscus syriacus;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;San Mateo;25;AV;Cercis siliquastrum;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;San Sebasti†n;1;AV;Hibiscus syriacus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Cuesta;;San Vicente (Centro);SN;AV;Platanus x hybrida;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;San Vicente Ferrer;4;AV;Photinia fraserii;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;S†nchez Bustillo;7;AV;Liquidambar styraciflua;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;Santa Ana;2;AV;Ligustrum japonicum 'Variegata';3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;Santa Ana;12;AV;Platanus x hybrida;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Santa Clara;2;AV;Crataegus monogyna;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;Santa Cruz;5;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Santa Cruz de Marcenado;21;AV;Fraxinus ornus;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Santa Isabel;45;AV;Albizia julibrissin;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Santa Isabel;47;AV;Platanus x hybrida;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;Santiago;2;AV;Prunus cerasifera pissardii;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Ronda;;Segovia (Centro);39;AV;Platanus x hybrida;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Ronda;;Segovia (Centro);3;AV;Sophora japonica;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Serrano Jover;6;AV;Celtis australis;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Toledo (Centro);18;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Ronda;;Toledo (Centro);6;AV;Sophora japonica;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Valencia;8;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Ronda;;Valencia (Centro);2;AV;Ligustrum japonicum 'Variegata';2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;V†lgame Dios;1;AV;Acer monspessulanum;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Ventura de la Vega;3;AV;Cercis siliquastrum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Ventura de la Vega;2;AV;Ligustrum japonicum;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Zaragoza;2;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Zorrilla;31;AV;Prunus cerasifera pissardii;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Alberto Aguilera;;ZV;Gleditsia triacanthos;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Parque;de;Atenas;;ZV;Morus alba;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Barcel¢-Jardineras;;ZV;Laurus nobilis;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;Carmen;;ZV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Parque;del;Casino de la Reina;;ZV;Prunus cerasifera pissardii;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;de las;Comendadoras;;ZV;Celtis australis;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;de las;Comendadoras;;ZV;Pinus pinea;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Parque;de la;Cornisa;;ZV;Acer platanoides;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;de;Cristino Martos;;ZV;Hibiscus syriacus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Gran V°a de San Francisco;;ZV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;de;Jacinto Benavente;;ZV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;La Ventosa;;ZV;Albizia julibrissin;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;La Ventosa;;ZV;Liquidambar styraciflua;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Jardines;de;Larra;;ZV;Ginkgo biloba;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;;;Mercado Puerta de Toledo;;ZV;Acer negundo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;;;Mercado Puerta de Toledo;;ZV;Celtis australis;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Sagasta;;ZV;Gleditsia triacanthos;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;San Ildefonso ;;ZV;Pyrus calleryana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;de;V†zquez de Mella;;ZV;Fraxinus excelsior;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
