district,green_aeaa_ZV_road_trees_AV,location,specie,performance,units
Carabanchel,ZV,"Valle de Oro, pasaje ",Populus alba,Poda de mantenimiento,3
Carabanchel,ZV,"Valle de Oro, pasaje ",Prunus cerasifera,Poda de mantenimiento,1
Carabanchel,ZV,"Valle de Oro, pasaje ",Prunus cerasifera pissardii,Poda de mantenimiento,9
Carabanchel,ZV,"Valle de Oro, pasaje ",Prunus cerasifera pissardii,Tala seco,1
Carabanchel,ZV,"Valle de Oro, pasaje ",Ulmus pumila,Poda de rebaje,9
Carabanchel,AV,"Alondra, calle",Sophora japonica,Poda de mantenimiento,6
Carabanchel,AV,"Alondra, calle",Sophora japonica,Tala descortezado,1
Carabanchel,AV,"Antonio López (Carabanchel), calle",Platanus x hybrida,Poda de mantenimiento,21
Carabanchel,AV,"Antonio López (Carabanchel), calle",Platanus x hybrida,Poda de rebaje,83
Carabanchel,AV,"Antonio López (Carabanchel), calle",Platanus x hybrida,Tala seco,1
Carabanchel,AV,"Avecilla, calle",Koelreuteria paniculata,Poda de mantenimiento,1
Carabanchel,AV,"Avecilla, calle",Sophora japonica,Poda de mantenimiento,4
Carabanchel,AV,Camino Viejo de Leganés,Ailanthus altissima,Poda de rebaje,1
Carabanchel,AV,Camino Viejo de Leganés,Gleditsia triacanthos,Poda de rebaje,1
Carabanchel,AV,Camino Viejo de Leganés,Ulmus pumila,Poda de mantenimiento,1
Carabanchel,AV,Camino Viejo de Leganés,Ulmus pumila,Poda de rebaje,3
Carabanchel,AV,"Castrogeriz, calle",Robinia pseudoacacia,Poda de rebaje,1
Carabanchel,AV,"Castrogeriz, calle",Sophora japonica,Poda de mantenimiento,5
Carabanchel,AV,"Castrogeriz, calle",Sophora japonica,Poda de rebaje,6
Carabanchel,AV,"Clarisas, calle",Platanus x hybrida,Poda de rebaje,2
Carabanchel,AV,"Clarisas, calle",Robinia pseudoacacia,Poda de mantenimiento,1
Carabanchel,AV,"Clarisas, calle",Sophora japonica,Tala seco,1
Carabanchel,AV,"Doctor Espina, calle",Sophora japonica,Poda de mantenimiento,1
Carabanchel,AV,"Hilanderas, plaza",Robinia pseudoacacia,Poda de mantenimiento,1
Carabanchel,AV,"Hilanderas, plaza",Ulmus pumila,Poda de mantenimiento,2
Carabanchel,AV,"Hilanderas, plaza",Ulmus pumila,Poda de rebaje,9
Carabanchel,AV,"Joaquín Martínez Borreguero, calle",Platanus x hybrida,Poda de mantenimiento,1
Carabanchel,AV,"Joaquín Martínez Borreguero, calle",Platanus x hybrida,Poda de rebaje,2
Carabanchel,AV,"Marcelino Camacho, paseo",Gleditsia triacanthos,Poda de mantenimiento,1
Carabanchel,AV,"Marcelino Camacho, paseo",Gleditsia triacanthos,Poda de rebaje,1
Carabanchel,AV,"Marcelino Camacho, paseo",Morus nigra,Poda de mantenimiento,2
Carabanchel,AV,"Marcelino Camacho, paseo",Robinia pseudoacacia,Poda de mantenimiento,10
Carabanchel,AV,"Marcelino Camacho, paseo",Robinia pseudoacacia,Tala seco,1
Carabanchel,AV,"Marcelino Camacho, paseo",Sophora japonica,Poda de mantenimiento,35
Carabanchel,AV,"Marcelino Camacho, paseo",Ulmus pumila,Poda de mantenimiento,3
Carabanchel,AV,"Marcelino Camacho, paseo",Ulmus pumila,Poda de rebaje,7
Carabanchel,AV,"Maríanistas, calle",Ulmus pumila,Poda de mantenimiento,6
Carabanchel,AV,"Matilde Hernández, calle",Koelreuteria paniculata,Poda de mantenimiento,10
Carabanchel,AV,"Matilde Hernández, calle",Platanus x hybrida,Poda de rebaje,5
Carabanchel,AV,"Matilde Hernández, calle",Sophora japonica,Poda de mantenimiento,32
Carabanchel,AV,"Matilde Hernández, calle",Sophora japonica,Poda de rebaje,4
Carabanchel,AV,"Matilde Hernández, calle",Sophora japonica,Poda de rebaje,1
Carabanchel,AV,"Matilde Hernández, calle",Ulmus pumila,Poda de mantenimiento,2
Carabanchel,AV,"Meninas, plaza",Ulmus pumila,Poda de mantenimiento,17
Carabanchel,AV,"Meninas, plaza",Ulmus pumila,Poda de rebaje,3
Carabanchel,AV,"Mercedes Arteaga, calle",Morus nigra,Poda de mantenimiento,2
Carabanchel,AV,"Mercedes Arteaga, calle",Morus nigra,Poda de rebaje,12
Carabanchel,AV,"Mercedes Arteaga, calle",Morus nigra,Tala peligroso,2
Carabanchel,AV,"Mercedes Arteaga, calle",Pyrus calleryana,Poda de mantenimiento,3
Carabanchel,AV,"Mercedes Arteaga, calle",Pyrus communis,Poda de mantenimiento,2
Carabanchel,AV,"Plaza de Toros, avenida",Robinia pseudoacacia,Poda de mantenimiento,3
Carabanchel,AV,"Plaza de Toros, avenida",Sophora japonica,Poda de mantenimiento,34
Carabanchel,AV,"Plaza de Toros, avenida",Ulmus pumila,Poda de rebaje,2
Carabanchel,AV,"Rendición de Breda, plaza",Platanus x hybrida,Poda de mantenimiento,2
Carabanchel,AV,"Rendición de Breda, plaza",Ulmus pumila,Poda de mantenimiento,6
Carabanchel,AV,"Rendición de Breda, plaza",Ulmus pumila,Poda de rebaje,3
Carabanchel,AV,"Roy, calle",Sophora japonica,Poda de mantenimiento,3
Carabanchel,AV,"Saldanza, calle",Platanus x hybrida,Poda de rebaje,2
Carabanchel,AV,"Saldanza, calle",Robinia pseudoacacia,Poda de mantenimiento,1
Carabanchel,AV,"Saldanza, calle",Sophora japonica,Poda de mantenimiento,4
Carabanchel,AV,"Santa Lucrecia, calle",Platanus x hybrida,Poda de mantenimiento,11
Carabanchel,AV,"Santa Lucrecia, calle",Platanus x hybrida,Poda de rebaje,5
Carabanchel,AV,"Sorbe, calle",Celtis australis,Poda de mantenimiento,8
Carabanchel,AV,"Virgen de Belén, calle",Gleditsia triacanthos,Poda de rebaje,1
Usera,ZV,"Albaicín, calle ",Juglans nigra,Poda de mantenimiento,1
Usera,ZV,"Albaicín, calle ",Platanus x hybrida,Poda de mantenimiento,44
Usera,ZV,"Albaicín, calle ",Populus alba bolleana,Poda de mantenimiento,1
Usera,ZV,"Andalucía, avenida ",Ailanthus altissima,Poda de mantenimiento,1
Usera,ZV,"Cristo de la Victoria, interbloques",Ligustrum japonicum,Poda de mantenimiento,3
Usera,ZV,"Cristo de la Victoria, interbloques",Ligustrum japonicum,Poda de mantenimiento,76
Usera,ZV,"Cristo de la Victoria, interbloques",Ligustrum japonicum,Poda de mantenimiento,1
Usera,ZV,"Cristo de la Victoria, interbloques",Ligustrum lucidum,Poda de mantenimiento,31
Usera,ZV,"Cristo de la Victoria, interbloques",Prunus cerasifera,Poda de mantenimiento,5
Usera,ZV,"Cristo de la Victoria, interbloques",Prunus cerasifera,Poda de mantenimiento,34
Usera,ZV,"Ichaso, pasillo",Acacia dealbata,Poda de mantenimiento,1
Usera,ZV,"Ichaso, pasillo",Ulmus minor,Poda de rebaje,3
Usera,ZV,"Ichaso, pasillo",Ulmus pumila,Poda de rebaje,3
Usera,ZV,"Nivar, calle ",Fraxinus angustifolia,Poda de mantenimiento,2
Usera,ZV,"Nivar, calle ",Platanus x hybrida,Poda de mantenimiento,46
Usera,ZV,"Orcasitas, poblado dirigido ",Acer negundo,Poda de mantenimiento,1
Usera,ZV,"Orcasitas, poblado dirigido ",Cupressus arizonica,Tala,1
Usera,ZV,"Orcasitas, poblado dirigido ",Phoenix canariensis,Poda de mantenimiento,1
Usera,ZV,"Orcasitas, poblado dirigido ",Platanus x hybrida,Poda de mantenimiento,30
Usera,ZV,"Orcasitas, poblado dirigido ",Robinia pseudoacacia,Poda de mantenimiento,1
Usera,ZV,"Orcasitas, poblado dirigido ",Ulmus minor,Poda de rebaje,2
Usera,ZV,"Orcasitas, poblado dirigido ",Ulmus pumila,Poda de rebaje,8
Usera,ZV,"Pradolongo, parque",Pinus pinea,Poda de mantenimiento,102
Usera,ZV,"Pradolongo, parque",Ulmus pumila,Poda de rebaje,2
Usera,ZV,"Sacromonte, calle",Platanus x hybrida,Poda de mantenimiento,46
Usera,AV,"Andalucía (Usera), avenida",Celtis australis,Poda de mantenimiento,3
Usera,AV,"Andalucía (Usera), avenida",Ulmus pumila,Poda de rebaje,21
Usera,AV,"Antonio López, calle",Platanus x hybrida,Poda de mantenimiento,40
Usera,AV,"Carmen Bruguera, calle",Celtis australis,Poda de mantenimiento,4
Usera,AV,"Doctor Ferrán, calle",Platanus x hybrida,Poda de mantenimiento,20
Usera,AV,"Fernando Ortiz, calle",Platanus x hybrida,Poda de mantenimiento,48
Usera,AV,"General Marvá, calle",Platanus x hybrida,Poda de mantenimiento,32
Usera,AV,"Goyeneche, calle",Platanus x hybrida,Poda de mantenimiento,18
Usera,AV,"Ichaso, calle",Platanus x hybrida,Poda de mantenimiento,8
Usera,AV,"Ichaso, calle",Ulmus minor,Poda de rebaje,1
Usera,AV,"Ichaso, calle",Ulmus pumila,Poda de rebaje,20
Usera,AV,"Juan Español, calle",Ligustrum japonicum,Poda de mantenimiento,5
Usera,AV,"Silvina, calle",Ulmus pumila,Poda de rebaje,22
Usera,AV,"Torero, calle",Melia azedarach,Poda de mantenimiento,7
Usera,AV,"Torero, calle",Sophora japonica,Poda de mantenimiento,6
Puente Vallecas,ZV,Empedrado Barros,Ulmus pumila,Poda de mantenimiento,1
Puente Vallecas,ZV,"Entrevías - Pozo, parque",Catalpa bignonioides,Poda de mantenimiento,1
Puente Vallecas,ZV,"Entrevías - Pozo, parque",Cedrus deodara,Poda de mantenimiento,28
Puente Vallecas,ZV,"Entrevías - Pozo, parque",Cupressus sempervirens,Poda de mantenimiento,11
Puente Vallecas,ZV,"Entrevías - Pozo, parque",Melia azedarach,Poda de mantenimiento,2
Puente Vallecas,ZV,"Entrevías - Pozo, parque",Pinus pinea,Poda de mantenimiento,66
Puente Vallecas,ZV,Martinez de la Riva,Melia azedarach,Poda de mantenimiento,2
Puente Vallecas,ZV,Mohernando,Acer negundo,Poda de mantenimiento,7
Puente Vallecas,ZV,Mohernando,Populus alba bolleana,Poda de mantenimiento,4
Puente Vallecas,ZV,Mohernando,Prunus cerasifera pisardii,Poda de mantenimiento,1
Puente Vallecas,ZV,Mohernando,Robinia pseudoacacia,Poda de mantenimiento,3
Puente Vallecas,ZV,Mohernando,Ulmus pumila,Poda de mantenimiento,29
Puente Vallecas,ZV,"Pablo Neruda - Sur, bulevar ",Platanus x hybrida,Poda de mantenimiento,77
Puente Vallecas,ZV,"Palomeras Sureste - B, medianas y bulevares",Ailanthus altissima,Poda de mantenimiento,6
Puente Vallecas,ZV,"Palomeras, parque",Platanus x hybrida,Poda de mantenimiento,5
Puente Vallecas,ZV,Reguera de los Tomateros,Ulmus pumila,Poda de mantenimiento,8
Puente Vallecas,ZV,"San Anselmo, plaza",Sophora japonica,Poda de mantenimiento,10
Puente Vallecas,ZV,"Sur, ronda - Joaquín Garrigues Walker",Ligustrum vulgare,Poda de mantenimiento,2
Puente Vallecas,ZV,"Sur, ronda - Joaquín Garrigues Walker",Prunus cerasifera pisardii,Poda de mantenimiento,1
Puente Vallecas,ZV,"Sur, ronda - Joaquín Garrigues Walker",Prunus dulcis,Poda de mantenimiento,1
Puente Vallecas,ZV,"Sur, ronda - Joaquín Garrigues Walker",Prunus laurocerasus,Poda de mantenimiento,1
Puente Vallecas,ZV,"Sur, ronda - Joaquín Garrigues Walker",Prunus spp.,Poda de mantenimiento,2
Puente Vallecas,ZV,"Sur, ronda - Joaquín Garrigues Walker",Ulmus pumila,Poda de mantenimiento,46
Puente Vallecas,AV,"Albufera (Puente de Vallecas), avenida",Robinia pseudoacacia,Poda de mantenimiento,34
Puente Vallecas,AV,"Albufera (Puente de Vallecas), avenida",Sophora japonica,Poda de mantenimiento,34
Puente Vallecas,AV,"Albufera (Puente de Vallecas), avenida",Ulmus pumila,Poda de mantenimiento,11
Puente Vallecas,AV,"Andaluces, calle",Ailanthus altissima,Poda de mantenimiento,1
Puente Vallecas,AV,"Andaluces, calle",Robinia pseudoacacia,Poda de mantenimiento,1
Puente Vallecas,AV,"Antonio Garisa, glorieta",Platanus x hybrida,Poda de mantenimiento,2
Puente Vallecas,AV,"Barros, calle",Celtis australis,Poda de mantenimiento,2
Puente Vallecas,AV,"Barros, calle",Celtis laevigata,Poda de mantenimiento,1
Puente Vallecas,AV,"Barros, calle",Celtis occidentalis,Poda de mantenimiento,1
Puente Vallecas,AV,"Barros, calle",Ulmus pumila,Poda de mantenimiento,79
Puente Vallecas,AV,"Buenos Aires, avenida",Platanus x hybrida,Poda de mantenimiento,65
Puente Vallecas,AV,"Buenos Aires, avenida",Robinia pseudoacacia,Poda de mantenimiento,1
Puente Vallecas,AV,"Cabo de Tarifa, calle",Celtis australis,Poda de mantenimiento,1
Puente Vallecas,AV,"Cabo de Tarifa, calle",Ulmus pumila,Poda de mantenimiento,12
Puente Vallecas,AV,"Candilejas, calle",Platanus x hybrida,Poda de mantenimiento,60
Puente Vallecas,AV,"Carlos Martín Álvarez, calle",Acer negundo,Poda de mantenimiento,1
Puente Vallecas,AV,"Carlos Martín Álvarez, calle",Broussonetia papyrifera,Poda de mantenimiento,5
Puente Vallecas,AV,"Carlos Martín Álvarez, calle",Melia azedarach,Poda de mantenimiento,4
Puente Vallecas,AV,"Carlos Martín Álvarez, calle",Morus alba,Poda de mantenimiento,17
Puente Vallecas,AV,"Carlos Martín Álvarez, calle",Morus nigra,Poda de mantenimiento,22
Puente Vallecas,AV,"Carlos Martín Álvarez, calle",Robinia pseudoacacia,Poda de mantenimiento,3
Puente Vallecas,AV,"Cenicienta, calle",Platanus x hybrida,Poda de mantenimiento,2
Puente Vallecas,AV,"Diligencia, calle",Platanus x hybrida,Poda de mantenimiento,2
Puente Vallecas,AV,"El Padrino, calle",Gleditsia triacanthos,Poda de mantenimiento,4
Puente Vallecas,AV,"Esteban Carros, calle",Ulmus pumila,Poda de mantenimiento,1
Puente Vallecas,AV,"Glorietas, avenida",Ulmus pumila,Poda de mantenimiento,10
Puente Vallecas,AV,"Lele del Pozo, calle",Ulmus pumila,Poda de mantenimiento,21
Puente Vallecas,AV,"Pablo Neruda (Puente de Vallecas), avenida",Platanus x hybrida,Poda de mantenimiento,120
Puente Vallecas,AV,"Pablo Neruda (Puente de Vallecas), avenida",Populus alba bolleana,Poda de mantenimiento,1
Puente Vallecas,AV,"Padre Llanos, avenida",Platanus x hybrida,Poda de mantenimiento,60
Puente Vallecas,AV,"Palomeras, avenida",Platanus x hybrida,Poda de mantenimiento,1
Puente Vallecas,AV,"Pedro Laborde, calle",Platanus x hybrida,Poda de mantenimiento,1
Puente Vallecas,AV,"Rafael Alberti, avenida",Acer negundo,Poda de mantenimiento,5
Puente Vallecas,AV,"Rafael Alberti, avenida",Acer platanoides,Poda de mantenimiento,2
Puente Vallecas,AV,"Rafael Alberti, avenida",Ailanthus altissima,Poda de mantenimiento,32
Puente Vallecas,AV,"Rafael Alberti, avenida",Gleditsia triacanthos inermis,Poda de mantenimiento,5
Puente Vallecas,AV,"Reguera de Tomateros, calle",Platanus x hybrida,Poda de mantenimiento,59
Puente Vallecas,AV,"Romeo y Julieta, calle",Robinia pseudoacacia,Poda de mantenimiento,2
Puente Vallecas,AV,"Santos Inocentes, calle",Robinia pseudoacacia,Poda de mantenimiento,2
Puente Vallecas,AV,"Serena, calle",Celtis australis,Poda de mantenimiento,10
Puente Vallecas,AV,"Serena, calle",Celtis occidentalis,Poda de mantenimiento,6
Puente Vallecas,AV,"Serena, calle",Platanus x hybrida,Poda de mantenimiento,2
Puente Vallecas,AV,"Serena, calle",Ulmus pumila,Poda de mantenimiento,56
Puente Vallecas,AV,"Sur, ronda",Ulmus pumila,Poda de mantenimiento,5
Puente Vallecas,AV,"Tristana, calle",Robinia pseudoacacia,Poda de mantenimiento,3
Puente Vallecas,AV,"Violetera, calle",Robinia pseudoacacia,Poda de mantenimiento,2
Puente Vallecas,AV,"Viridiana, calle",Robinia pseudoacacia,Poda de mantenimiento,1
Moratalaz,ZV,"Barrios II, III y VI de Moratalaz",Cedrus deodara,Poda de mantenimiento,4
Moratalaz,ZV,"Barrios II, III y VI de Moratalaz",Celtis australis,Poda de mantenimiento,46
Moratalaz,ZV,"Barrios II, III y VI de Moratalaz",Platanus x hybrida,Poda de mantenimiento,103
Moratalaz,ZV,"Barrios II, III y VI de Moratalaz",Populus alba,Poda de mantenimiento,4
Moratalaz,ZV,"Barrios II, III y VI de Moratalaz",Prunus cerasifera pisardii,Poda de mantenimiento,11
Moratalaz,ZV,"Los Pinos, parque de",Populus alba,Poda de mantenimiento,32
Moratalaz,ZV,"Los Pinos, parque de",Populus alba bolleana,Poda de mantenimiento,75
Moratalaz,AV,"Antonio Cumella, calle",Platanus x hybrida,Poda de mantenimiento,222
Moratalaz,AV,"Camino de los Vinateros, calle",Ulmus pumila,Poda de mantenimiento,14
Moratalaz,AV,"Encomienda de Palacios, calle",Platanus x hybrida,Poda de mantenimiento,9
Moratalaz,AV,"Encomienda de Palacios, calle",Ulmus minor,Poda de mantenimiento,1
Moratalaz,AV,"Encomienda de Palacios, calle",Ulmus pumila,Poda de mantenimiento,38
Moratalaz,AV,"Luis de Hoyos Sainz, calle",Acer campestre,Poda de mantenimiento,2
Moratalaz,AV,"Luis de Hoyos Sainz, calle",Celtis australis,Poda de mantenimiento,8
Moratalaz,AV,"Luis de Hoyos Sainz, calle",Celtis occidentalis,Poda de mantenimiento,43
Moratalaz,AV,"Luis de Hoyos Sainz, calle",Ulmus minor,Poda de mantenimiento,2
Moratalaz,AV,"Luis de Hoyos Sainz, calle",Ulmus pumila,Poda de mantenimiento,19
Ciudad Lineal,ZV,Colonia San Juan Bautista,Varias especies,Poda de mantenimiento,328
Ciudad Lineal,ZV,Interbloques de elipa Sur y elipa Norte,Ulmus pumila,Poda de mantenimiento,163
Ciudad Lineal,ZV,"Parque Florí, ábalos, calle",Ulmus pumila,Poda de mantenimiento,23
Ciudad Lineal,ZV,"Tilos, parque de los",Ulmus pumila,Poda de mantenimiento,40
Ciudad Lineal,AV,"Agastia, calle. Colonia San Juan Bautista",Varias especies,Poda de mantenimiento,30
Ciudad Lineal,AV,"Alcalde López Casero, calle","Sophora japonica, Ulmus pumila…",Poda de mantenimiento,32
Ciudad Lineal,AV,"Ascao, calle",Varias especies,Poda de mantenimiento,100
Ciudad Lineal,AV,"Cidamón, calle. Colonia San Juan Bautista",Varias especies,Poda de mantenimiento,10
Ciudad Lineal,AV,"Cyesa, calle","Ulmus pumila, Celtis australis…",Poda de mantenimiento,34
Ciudad Lineal,AV,"Emilio Vargas, calle",Ulmus pumila,Poda de mantenimiento,9
Ciudad Lineal,AV,"Institución Libre de Enseñanza, avenida",Ulmus pumila,Poda de mantenimiento,12
Ciudad Lineal,AV,"Luis Campos, calle","Ulmus pumila, Celtis australis…",Poda de mantenimiento,37
Ciudad Lineal,AV,"Luis Ruiz, calle","Ulmus pumila, Celtis australis, Morus alba…",Poda de mantenimiento,135
Ciudad Lineal,AV,"Manuel María Iglesias, calle","Ulmus pumila, Celtis australis…",Poda de mantenimiento,43
Ciudad Lineal,AV,"Martínez Villergas, calle",Ulmus pumila,Poda de mantenimiento,10
Ciudad Lineal,AV,"Treviana, calle",Ulmus pumila,Poda de mantenimiento,4
Ciudad Lineal,AV,"Virgen del Sagrario, calle",Platanus x hybrida,Poda de mantenimiento,40
Hortaleza,ZV,Conector Antonio Miró Valverde,Morus alba 'Fruitless',Poda de mantenimiento,78
Hortaleza,ZV,Conector Jordí Solé Tura,Morus alba 'Fruitless',Poda de mantenimiento,74
Hortaleza,ZV,"Gomeznarro, Parque","Populus alba, Gleditsia triacanthos y Acer negundo",Poda de mantenimiento,33
Hortaleza,ZV,José Álvarez de Toledo,Pinus pinea,Poda de mantenimiento,13
Hortaleza,ZV,Junta Municipal de Hortaleza - Palacete Villa Rosa,Pinus pinea,Poda de mantenimiento,8
Hortaleza,ZV,"Los Llanos, Parque ",Varias especies,Poda de mantenimiento,139
Hortaleza,ZV,"Princesa de Éboli, calle",Robinia hispida,Poda de mantenimiento,50
Hortaleza,ZV,"Princesa de Éboli, mediana",Sophora japonica,Poda de mantenimiento,82
Hortaleza,AV,"Ana de Austria, calle",Ulmus pumila,Poda de mantenimiento,53
Hortaleza,AV,"Balaguer, calle",Varias especies,Poda de mantenimiento,12
Hortaleza,AV,"Borjas Blancas, calle",Varias especies,Poda de mantenimiento,19
Hortaleza,AV,"Canillas, carretera",Ulmus pumila,Poda de mantenimiento,34
Hortaleza,AV,"Cervera, calle",Varias especies,Poda de mantenimiento,28
Hortaleza,AV,"Gomeznarro,calle",Pinus pinea,Poda de mantenimiento,22
Hortaleza,AV,"Julio Cano Lasso, calle",Gleditsia triacanthos,Poda de mantenimiento,142
Hortaleza,AV,"López de Hoyos, calle",Platanus x hybrida,Poda de mantenimiento,14
Hortaleza,AV,"Manuel Uribe, calle",Sophora japonica,Poda de mantenimiento,33
Hortaleza,AV,"Oliana, calle",Varias especies,Poda de mantenimiento,8
Hortaleza,AV,"Princesa de Éboli, calle",Sophora japonica,Poda de mantenimiento,61
Hortaleza,AV,"Tiberiades, calle",Platanus x hybrida,Poda de mantenimiento,18
Hortaleza,AV,"Virgen del Carmen, avenida",Varias especies,Poda de mantenimiento,45
Villaverde,ZV,Alcocer - Arechavaleta,Robinia pseudoacacia,Poda de rebaje,2
Villaverde,ZV,Alcocer - Arechavaleta,Ulmus pumila,Poda de rebaje,17
Villaverde,ZV,"Andalucía, avenida - Ciudadanía",Ulmus pumila,Poda de rebaje,2
Villaverde,ZV,"Canción del Olvido - Ingenieros, interbloques",Celtis australis,Poda de mantenimiento,6
Villaverde,ZV,"Canción del Olvido - Ingenieros, interbloques",Melia azedarach,Poda de mantenimiento,16
Villaverde,ZV,"Canción del Olvido - Ingenieros, interbloques",Robinia pseudoacacia,Poda de rebaje,9
Villaverde,ZV,"Felicidad, avenida",Fraxinus sp,Poda de mantenimiento,48
Villaverde,ZV,"Gigantes y Cabezudos - La Dolorosa, interbloques",Catalpa bignonioides,Poda de mantenimiento,31
Villaverde,ZV,"Gigantes y Cabezudos - La Dolorosa, interbloques",Morus alba,Poda de mantenimiento,6
Villaverde,ZV,"Gigantes y Cabezudos - La Dolorosa, interbloques",Pinus halepensis,Poda de mantenimiento,3
Villaverde,ZV,"Gigantes y Cabezudos - La Dolorosa, interbloques",Populus alba bolleana,Poda de mantenimiento,12
Villaverde,ZV,"Gigantes y Cabezudos - La Dolorosa, interbloques",Sophora japonica,Poda de rebaje,5
Villaverde,ZV,"Gigantes y Cabezudos - La Dolorosa, interbloques",Ulmus pumila,Poda de rebaje,60
Villaverde,ZV,"Litos, colonia ",Ailanthus altissima,Poda de mantenimiento,1
Villaverde,ZV,"Litos, colonia ",Robinia pseudoacacia,Poda de rebaje,3
Villaverde,ZV,"Litos, colonia ",Salix babylonica,Poda de mantenimiento,1
Villaverde,ZV,"Litos, colonia ",Ulmus pumila,Poda de rebaje,27
Villaverde,ZV,"Rocafort, 72-78, calle",Platanus x hybrida,Poda de rebaje,18
Villaverde,ZV,"Santiago, vado",Aesculus hippocastanum,Poda de mantenimiento,22
Villaverde,ZV,"Santiago, vado",Celtis australis,Poda de mantenimiento,20
Villaverde,ZV,"Villajoyosa, calle",Ulmus pumila,Poda de rebaje,5
Villaverde,AV,"Afecto, calle",Melia azedarach,Poda de mantenimiento,89
Villaverde,AV,"Anoeta, calle - Gigantes y Cabezudos",Celtis australis,Poda de mantenimiento,7
Villaverde,AV,"Anoeta, calle - Gigantes y Cabezudos",Ulmus pumila,Poda de rebaje,8
Villaverde,AV,"Anoeta, calle - Hermandad - Manojo de Rosas",Ulmus pumila,Poda de rebaje,85
Villaverde,AV,"Cobalto, calle",Acer negundo,Poda de mantenimiento,1
Villaverde,AV,"Cobalto, calle",Morus nigra,Poda de mantenimiento,1
Villaverde,AV,"Cobalto, calle",Platanus x hybrida,Poda de rebaje,17
Villaverde,AV,"Cobalto, calle",Robinia pseudoacacia,Poda de rebaje,5
Villaverde,AV,"Diamante, calle",Ligustrum japonicum,Poda de mantenimiento,2
Villaverde,AV,"Diamante, calle",Platanus x hybrida,Poda de rebaje,33
Villaverde,AV,"Diamante, calle",Prunus pisardii,Poda de mantenimiento,2
Villaverde,AV,"Gigantes y Cabezudos, paseo",Acer negundo,Poda de mantenimiento,1
Villaverde,AV,"Gigantes y Cabezudos, paseo",Celtis australis,Poda de mantenimiento,8
Villaverde,AV,"Gigantes y Cabezudos, paseo",Hibiscus syriacus,Poda de mantenimiento,1
Villaverde,AV,"Gigantes y Cabezudos, paseo",Olea europaea,Poda de mantenimiento,1
Villaverde,AV,"Gigantes y Cabezudos, paseo",Populus sp,Poda de mantenimiento,22
Villaverde,AV,"Gigantes y Cabezudos, paseo",Prunus armeniaca,Poda de mantenimiento,1
Villaverde,AV,"Gigantes y Cabezudos, paseo",Robinia pseudoacacia,Poda de rebaje,2
Villaverde,AV,"Gigantes y Cabezudos, paseo",Ulmus pumila,Poda de rebaje,75
Villaverde,AV,"Santiago, vado",Platanus x hybrida,Poda de rebaje,11
Villaverde,AV,"Villalonso, calle",Ulmus pumila,Poda de rebaje,27
Villa de Vallecas,ZV,"Autovía A-3, margen derechho",Ulmus pumila,Poda de mantenimiento,187
Villa de Vallecas,ZV,Puerto Porzuna,Pinus pinea,Poda de mantenimiento,1
Villa de Vallecas,ZV,"San Jaime, laterales",Ulmus pumila,Poda de mantenimiento,4
Villa de Vallecas,ZV,Zazuar - Virgen de las Viñas,Robinia pseudoacacia,Poda de mantenimiento,1
Villa de Vallecas,ZV,Zazuar - Virgen de las Viñas,Ulmus pumila,Poda de mantenimiento,44
Villa de Vallecas,AV,"Enrique García Álvarez, calle",Ulmus pumila,Poda de mantenimiento,1
Villa de Vallecas,AV,"Felipe Álvarez, calle",Celtis australis,Poda de mantenimiento,1
Villa de Vallecas,AV,"Felipe Álvarez, calle",Ulmus pumila,Poda de mantenimiento,8
Villa de Vallecas,AV,"Fuentidueña, calle",Acer pseudoplatanus,Poda de mantenimiento,3
Villa de Vallecas,AV,"Fuentidueña, calle",Celtis australis,Poda de mantenimiento,21
Villa de Vallecas,AV,"Fuentidueña, calle",Morus nigra,Poda de mantenimiento,1
Villa de Vallecas,AV,"Fuentidueña, calle",Pinus nigra,Poda de mantenimiento,2
Villa de Vallecas,AV,"Fuentidueña, calle",Populus x canadensis,Poda de mantenimiento,1
Villa de Vallecas,AV,"Fuentidueña, calle",Robinia pseudoacacia,Poda de mantenimiento,4
Villa de Vallecas,AV,"Fuentidueña, calle",Ulmus pumila,Poda de mantenimiento,10
Villa de Vallecas,AV,"La Gavia, avenida",Ceratonia siliqua,Poda de mantenimiento,3
Villa de Vallecas,AV,"La Gavia, avenida",Platanus x hybrida,Poda de mantenimiento,86
Villa de Vallecas,AV,"La Gavia, avenida",Robinia pseudoacacia,Poda de mantenimiento,2
Villa de Vallecas,AV,"Puerto de Porzuna, calle",Celtis australis,Poda de mantenimiento,2
Villa de Vallecas,AV,"Puerto de Porzuna, calle",Celtis australis,Poda de mantenimiento,1
Villa de Vallecas,AV,"Puerto de Porzuna, calle",Gleditsia triacanthos,Poda de mantenimiento,53
Villa de Vallecas,AV,"Puerto de Porzuna, calle",Ligustrum japonicum,Poda de mantenimiento,2
Villa de Vallecas,AV,"Puerto de Porzuna, calle",Morus alba,Poda de mantenimiento,1
Villa de Vallecas,AV,"Puerto de Porzuna, calle",Pinus nigra,Poda de mantenimiento,2
Villa de Vallecas,AV,"Puerto de Porzuna, calle",Populus alba bolleana,Poda de mantenimiento,5
Villa de Vallecas,AV,"Puerto de Porzuna, calle",Robinia pseudoacacia,Poda de mantenimiento,30
Villa de Vallecas,AV,"Puerto de Porzuna, calle",Sophora japonica,Poda de mantenimiento,6
